analysis_id,3dqw4697aqg0370
mouse_strain,C57BL
pvalue,0.8533849
parameter_id,JAX_SLW_014_001
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
parameter_name,Breath rate during sleep standard deviation
gene_symbol,Wars2
