gene_symbol,Sdcbp2
parameter_id,MGP_IMM_036_001
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of NK cells
pvalue,0.8479679
analysis_id,cu583k19qb6g166
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
