gene_symbol,Mov10
gene_accession_id,MGI:97054
parameter_id,JAX_LDT_005_001
parameter_name,Time mobile dark side
mouse_strain,C57BL
analysis_id,189gubhu0a03e6g
mouse_life_stage,Early adult
pvalue,0.8259837
