gene_symbol,Ifi44
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_027_001
pvalue,0.5643807
parameter_name,Neural tube closure
gene_accession_id,MGI:2443016
analysis_id,dt2mn8s428ie7fv
mouse_strain,C57BL
