gene_symbol,Cmpk1
pvalue,1.44023
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
mouse_strain,C57BL
parameter_id,HMGULA_DYS_024_001
parameter_name,Vibrissae - appearance
analysis_id,ex272c827w7s2pt
