analysis_id,697uzdk4f0k39kc
pvalue,0.6104446
parameter_name,Snout morphology
parameter_id,MGP_CSD_066_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
