parameter_name,PP1 startle magnitude
gene_accession_id,MGI:2181659
analysis_id,m1801q37fkr82i6
gene_symbol,Tox
parameter_id,ESLIM_011_001_002
mouse_strain,C57BL
pvalue,0.3085294
mouse_life_stage,Early adult
