parameter_name,Vibrissae - presence
gene_symbol,Trim46
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,3zj63262f3wk75l
gene_accession_id,MGI:2673000
parameter_id,JAXLA_CSD_023_001
pvalue,0.12998
