analysis_id,u781914zjsj805j
gene_symbol,Wars2
pvalue,0.2282049
parameter_id,MGP_BMI_019_001
mouse_strain,C57BL
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
parameter_name,T cells - % of CD45+
