gene_symbol,Ubxn4
gene_accession_id,MGI:1915062
parameter_name,Periphery average speed
pvalue,0.05088745
analysis_id,46947a2ptfrmf46
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_013_001
