gene_symbol,Dhdds
mouse_life_stage,Early adult
pvalue,0.9479133
mouse_strain,C57BL
analysis_id,5v6008i99i2iujd
parameter_id,IMPC_ACS_036_001
parameter_name,% Pre-pulse inhibition - PPI4
gene_accession_id,MGI:1914672
