gene_symbol,Trp53rkb
parameter_name,Embryo turning
analysis_id,2ur2o0i2sy7048m
pvalue,0.6654702
parameter_id,IMPC_GEL_011_001
gene_accession_id,MGI:1914050
mouse_strain,C57BL
mouse_life_stage,Early adult
