analysis_id,k1c1f7du0ju7151
gene_accession_id,MGI:1914672
pvalue,0.3917873
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Dhdds
parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
