parameter_name,Ly6Clow monocyte number
pvalue,0.08491754
gene_symbol,Psmd14
analysis_id,6r51ai587wvhj89
mouse_strain,C57BL
gene_accession_id,MGI:1913284
parameter_id,MGP_PBI_038_001
mouse_life_stage,Early adult
