gene_symbol,Opn3
parameter_name,Weight
mouse_life_stage,Early adult
analysis_id,o059q769i5828o0
gene_accession_id,MGI:1338022
parameter_id,CCP_LFO_001_001
mouse_strain,C57BL
pvalue,0.9648872
