analysis_id,g8w4akmc218smf4
parameter_id,IMPC_HEM_008_001
parameter_name,Platelet count
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4899384
gene_symbol,Frmpd1
