mouse_life_stage,E9.5
gene_symbol,Wars2
gene_accession_id,MGI:1917810
mouse_strain,C57BL
parameter_id,M-G-P_013_001_001
parameter_name,Eye
pvalue,0.9745718
analysis_id,su31s220ifg249b
