analysis_id,243y84cbrrspi2v
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
parameter_id,MGP_PBI_016_001
parameter_name,Monocyte percentage
gene_symbol,Pld1
pvalue,0.7925975
mouse_strain,C57BL
