parameter_id,JAXLA_OFD_017_001
gene_accession_id,MGI:1336200
pvalue,0.2955175
mouse_strain,C57BL
analysis_id,bb35pk683496347
gene_symbol,Hpca
parameter_name,Center average speed
mouse_life_stage,Late adult
