analysis_id,z14g22nt782348p
parameter_name,6kHz-evoked ABR Threshold
gene_accession_id,MGI:1921688
gene_symbol,Clvs1
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_004_001
mouse_strain,C57BL
pvalue,0.7564359
