gene_symbol,Bach2
analysis_id,67c0pr470pbjh67
parameter_name,B Cells
gene_accession_id,MGI:894679
parameter_id,IMPC_IMM_063_001
mouse_strain,C57BL
pvalue,1.973088e-12
mouse_life_stage,Early adult
