parameter_name,Hindlimbs - shape
analysis_id,rfj1r1l981yw7y5
gene_accession_id,MGI:2684980
parameter_id,JAXLA_CSD_021_001
gene_symbol,Mms22l
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.2003909
