parameter_name,Anophthalmia
gene_symbol,Hspa5
mouse_life_stage,Early adult
analysis_id,0668vi67oq04w2y
parameter_id,IMPC_GEO_048_002
mouse_strain,C57BL
gene_accession_id,MGI:95835
pvalue,0.9408082
