gene_symbol,Ubxn4
mouse_life_stage,Late adult
gene_accession_id,MGI:1915062
analysis_id,007v64k64zy9v8i
parameter_id,IMPC_CBC_006_001
mouse_strain,C57BL
pvalue,0.161418
parameter_name,Total protein
