pvalue,0.1243719
gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,2hfke33q2813qh8
parameter_id,M-G-P_007_001_010
parameter_name,center - distance
