analysis_id,h9ky6iy8q4xkfu6
mouse_life_stage,Late adult
parameter_id,IMPC_EYE_027_001
gene_accession_id,MGI:1336200
gene_symbol,Hpca
pvalue,0.5578873
mouse_strain,C57BL
parameter_name,Persistence of hyaloid vascular system
