analysis_id,f9a81pkchovi11x
parameter_name,Total cholesterol
gene_accession_id,MGI:1915033
parameter_id,HMGULA_CBC_015_001
gene_symbol,Ahctf1
mouse_strain,C57BL
pvalue,0.07494326
mouse_life_stage,Early adult
