analysis_id,ehj7u87m48o27w0
pvalue,0.8751313
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
gene_symbol,Frmpd1
mouse_life_stage,Early adult
