parameter_name,Triglycerides
gene_accession_id,MGI:1927232
parameter_id,HMGULA_CBC_017_001
mouse_life_stage,Early adult
gene_symbol,Rab13
mouse_strain,C57BL
analysis_id,6dj95dm6k4l08x2
pvalue,0.5466511
