gene_symbol,Bach2
gene_accession_id,MGI:894679
pvalue,0.1829046
mouse_strain,C57BL
parameter_name,CD4+ alpha beta T cell percentage
parameter_id,MGP_PBI_003_001
mouse_life_stage,Early adult
analysis_id,6cn73pg45y2nziv
