analysis_id,p49774x80zaw9v4
parameter_name,Bone Mineral Density (excluding skull)
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
mouse_strain,C57BL
parameter_id,M-G-P_005_001_004
pvalue,0.5302025
gene_symbol,Mapkap1
