analysis_id,w1ve1yz385xs6ih
pvalue,0.6530945
mouse_life_stage,Early adult
gene_symbol,Cds2
gene_accession_id,MGI:1332236
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_009_001
mouse_strain,C57BL
