parameter_name,HDL-cholesterol
mouse_strain,C57BL
gene_symbol,Tiprl
parameter_id,IMPC_CBC_016_001
mouse_life_stage,E9.5
analysis_id,1uo6l7wn4fpoh36
pvalue,0.9924034
gene_accession_id,MGI:1915087
