analysis_id,p66ds41p52bi063
mouse_life_stage,E12.5
pvalue,0.3334321
gene_accession_id,MGI:95457
parameter_id,JAX_OFD_017_001
parameter_name,Center average speed
mouse_strain,C57BL
gene_symbol,Mecom
