gene_symbol,Sgip1
analysis_id,cswo086eu58p1j6
mouse_life_stage,Early adult
parameter_name,Mean corpuscular hemoglobin
gene_accession_id,MGI:1920344
parameter_id,IMPC_HEM_006_001
mouse_strain,C57BL
pvalue,0.950604
