gene_symbol,Bcs1l
mouse_strain,C57BL
parameter_name,Transitional B Cells (CD21/35 low)
analysis_id,2ew5rf5sxs2015j
pvalue,0.7266437
mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
parameter_id,IMPC_IMM_069_001
