analysis_id,p90a6a31572y381
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_009_001
gene_accession_id,MGI:1923029
pvalue,0.06955896
mouse_strain,C51BL
parameter_name,Calcium
gene_symbol,Dnaaf9
