parameter_id,ESLIM_011_001_009
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
parameter_name,PP3 + pulse startle magnitude
gene_symbol,Sgip1
analysis_id,je2l7x7euf1uk0l
mouse_strain,C57BL
pvalue,0.2277426
