analysis_id,n8ul8s69p5ny4h9
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
gene_symbol,Alkbh3
parameter_id,MGP_PBI_001_001
mouse_strain,C57BL
parameter_name,Total T cell percentage
pvalue,0.7150828
