analysis_id,13tv2w878p5u6y9
parameter_name,CD8+ KLRG1+ alpha beta T cell number
pvalue,0.4856684
parameter_id,MGP_PBI_033_001
mouse_strain,C57BL
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
gene_symbol,Cisd2
