analysis_id,c6f9201eof9f6w4
pvalue,0.9672948
parameter_name,CD103+ CD11b-low cDC - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:97838
mouse_life_stage,Early adult
gene_symbol,Eprs1
parameter_id,MGP_IMM_131_001
