gene_symbol,Hnf4a
mouse_strain,C57BL
pvalue,0.1013751
mouse_life_stage,Early adult
analysis_id,cs8lagg477e5ye6
parameter_name,Heart weight
parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:109128
