gene_symbol,Jun
parameter_name,Effector CD8+ T cells - % of CD45+
pvalue,0.341385
gene_accession_id,MGI:96646
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,1a5i212z2k711za
parameter_id,MGP_MLN_074_001
