gene_symbol,Ahctf1
parameter_id,MGP_BMI_014_001
gene_accession_id,MGI:1915033
mouse_strain,C57BL
analysis_id,c52208b0j6i7770
mouse_life_stage,Early adult
pvalue,0.5813903
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
