parameter_name,Midbrain
analysis_id,8d0mv6f288zv1y1
pvalue,0.4571848
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_029_001
mouse_strain,C57BL
gene_accession_id,MGI:1913284
gene_symbol,Psmd14
