gene_symbol,Cdin1
parameter_name,% Pre-pulse inhibition - PPI3
mouse_life_stage,E9.5
analysis_id,lo251a33aif6274
mouse_strain,C57BL
pvalue,0.2739864
gene_accession_id,MGI:3026886
parameter_id,IMPC_ACS_035_001
