gene_symbol,Lpgat1
parameter_name,% Pre-pulse inhibition - PPI2
mouse_life_stage,Early adult
pvalue,0.9591247
analysis_id,hekm4gh61ui832d
mouse_strain,C57BL
parameter_id,IMPC_ACS_034_001
gene_accession_id,MGI:2446186
