parameter_name,Distance travelled - total
gene_accession_id,MGI:88174
parameter_id,JAX_OFD_020_001
analysis_id,19ao57ei2s7y67e
mouse_life_stage,Early adult
gene_symbol,Bmi1
pvalue,0.9675
mouse_strain,C57BL
