analysis_id,h7o6pyg727mc677
gene_accession_id,MGI:2684980
parameter_name,Tibia length
gene_symbol,Mms22l
parameter_id,IMPC_XRY_033_001
mouse_strain,129SV
pvalue,0.3394269
mouse_life_stage,Early adult
