parameter_id,JAXLA_GRS_010_001
gene_accession_id,MGI:104848
mouse_strain,129SV
analysis_id,1mpicfe6i715er4
parameter_name,Forelimb grip strength normalised against body weight
pvalue,0.8080033
gene_symbol,Inpp1
mouse_life_stage,Early adult
