parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:1915033
gene_symbol,Ahctf1
pvalue,0.7067014
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,1t4016dtyit8wpt
parameter_name,Retina (combined)
