parameter_id,JAXLA_CSD_021_001
gene_accession_id,MGI:96646
mouse_life_stage,E15.5
mouse_strain,C57BL
analysis_id,s855k6z968eh3a6
parameter_name,Hindlimbs - shape
gene_symbol,Jun
pvalue,0.5233425
