analysis_id,16f22xkihhz84qk
parameter_name,lens opacity
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:106100
gene_symbol,Etfdh
mouse_strain,C57BL
pvalue,0.4801227
mouse_life_stage,Early adult
