gene_symbol,Hnf4a
mouse_strain,C57BL
analysis_id,37o7vw22djf7csy
mouse_life_stage,Early adult
gene_accession_id,MGI:109128
pvalue,0.8601647
parameter_id,IMPC_FEA_106_001
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
