gene_symbol,Atrn
mouse_strain,C57BL
parameter_id,IMPC_HEM_002_001
analysis_id,6bti4oo6f7ra20s
gene_accession_id,MGI:1341628
pvalue,0.5232197
parameter_name,Red blood cell count
mouse_life_stage,Early adult
