gene_symbol,Ssr2
parameter_id,JAX_LDT_002_001
pvalue,0.1808336
parameter_name,Light side time spent
gene_accession_id,MGI:1913506
analysis_id,9c7d15491055b4o
mouse_strain,C57BL
mouse_life_stage,Early adult
