parameter_id,HMGULA_CBC_009_001
gene_accession_id,MGI:1918345
mouse_strain,C57BL
analysis_id,5435jo775ko5vcu
gene_symbol,Kif24
pvalue,0.4383205
parameter_name,Calcium
mouse_life_stage,Early adult
