parameter_name,Humerus
parameter_id,IMPC_XRY_021_001
pvalue,0.28208
gene_symbol,Slx4ip
mouse_strain,C57BL
gene_accession_id,MGI:1921493
analysis_id,wt5yt0bn0f2eqs8
mouse_life_stage,Early adult
