gene_symbol,Rab13
analysis_id,246rh4h73604647
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_058_001
pvalue,0.4658264
parameter_name,Cholesterol ratio
gene_accession_id,MGI:1927232
