mouse_strain,C3H
pvalue,1.640176e-07
gene_accession_id,MGI:95457
mouse_life_stage,Early adult
parameter_name,Body position
gene_symbol,Mecom
analysis_id,xh1ctl97435o891
parameter_id,ESLIM_008_001_001
