parameter_name,Fractional Shortening
mouse_strain,129SV
analysis_id,kv8c72jg4jxh82i
gene_accession_id,MGI:1921802
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_005_001
pvalue,0.3068987
gene_symbol,Nipal3
