analysis_id,l2x6w2nc91y4519
gene_symbol,Kifap3
mouse_life_stage,Early adult
parameter_name,lens opacity
mouse_strain,C57BL
gene_accession_id,MGI:107566
parameter_id,M-G-P_014_001_010
pvalue,0.6885216
