analysis_id,4j4mjiq68j7m1i8
gene_accession_id,MGI:2685266
parameter_name,eye size
parameter_id,ESLIM_001_001_117
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Pglyrp3
pvalue,0.1583306
