analysis_id,y658re317405q31
mouse_life_stage,E12.5
gene_accession_id,MGI:87968
parameter_name,Lower teeth appearance
mouse_strain,C57BL
gene_symbol,Ahcy
parameter_id,IMPC_CSD_070_001
pvalue,0.5665322
